Kategorie: Alle Kategorien

Woche,workout: (North Carolina)
2020-01-05,76
2020-01-12,71
2020-01-19,65
2020-01-26,72
2020-02-02,72
2020-02-09,68
2020-02-16,61
2020-02-23,72
2020-03-01,62
2020-03-08,66
2020-03-15,81
2020-03-22,82
2020-03-29,100
2020-04-05,98
2020-04-12,94
2020-04-19,96
2020-04-26,94
2020-05-03,92
2020-05-10,75
2020-05-17,78
2020-05-24,84
2020-05-31,61
2020-06-07,76
2020-06-14,74
2020-06-21,76
2020-06-28,76
2020-07-05,75
2020-07-12,76
2020-07-19,69
2020-07-26,71
2020-08-02,79
2020-08-09,59
2020-08-16,52
2020-08-23,62
2020-08-30,61
2020-09-06,74
2020-09-13,62
2020-09-20,64
2020-09-27,61
2020-10-04,58
2020-10-11,61
2020-10-18,55
2020-10-25,72
2020-11-01,48
2020-11-08,60
2020-11-15,56
2020-11-22,50
2020-11-29,67
2020-12-06,69
2020-12-13,58
2020-12-20,54
2020-12-27,82
