Kategorie: Alle Kategorien

Woche,workout: (Nebraska)
2020-01-05,62
2020-01-12,81
2020-01-19,70
2020-01-26,51
2020-02-02,60
2020-02-09,76
2020-02-16,77
2020-02-23,63
2020-03-01,88
2020-03-08,62
2020-03-15,76
2020-03-22,100
2020-03-29,78
2020-04-05,73
2020-04-12,86
2020-04-19,94
2020-04-26,72
2020-05-03,50
2020-05-10,64
2020-05-17,58
2020-05-24,70
2020-05-31,55
2020-06-07,59
2020-06-14,55
2020-06-21,63
2020-06-28,49
2020-07-05,64
2020-07-12,60
2020-07-19,60
2020-07-26,78
2020-08-02,75
2020-08-09,67
2020-08-16,50
2020-08-23,70
2020-08-30,46
2020-09-06,67
2020-09-13,42
2020-09-20,51
2020-09-27,39
2020-10-04,44
2020-10-11,51
2020-10-18,64
2020-10-25,64
2020-11-01,41
2020-11-08,43
2020-11-15,46
2020-11-22,61
2020-11-29,50
2020-12-06,60
2020-12-13,42
2020-12-20,60
2020-12-27,59
