Kategorie: Alle Kategorien

Woche,suicide: (Nevada)
2020-01-05,37
2020-01-12,45
2020-01-19,39
2020-01-26,26
2020-02-02,32
2020-02-09,57
2020-02-16,41
2020-02-23,28
2020-03-01,42
2020-03-08,49
2020-03-15,48
2020-03-22,37
2020-03-29,52
2020-04-05,33
2020-04-12,28
2020-04-19,41
2020-04-26,49
2020-05-03,39
2020-05-10,40
2020-05-17,51
2020-05-24,30
2020-05-31,40
2020-06-07,36
2020-06-14,50
2020-06-21,40
2020-06-28,53
2020-07-05,54
2020-07-12,37
2020-07-19,29
2020-07-26,46
2020-08-02,53
2020-08-09,29
2020-08-16,52
2020-08-23,56
2020-08-30,37
2020-09-06,100
2020-09-13,41
2020-09-20,41
2020-09-27,43
2020-10-04,41
2020-10-11,34
2020-10-18,49
2020-10-25,40
2020-11-01,34
2020-11-08,37
2020-11-15,49
2020-11-22,47
2020-11-29,41
2020-12-06,33
2020-12-13,40
2020-12-20,36
2020-12-27,26
