Kategorie: Alle Kategorien

Woche,suicide: (Washington)
2020-01-05,63
2020-01-12,55
2020-01-19,68
2020-01-26,91
2020-02-02,63
2020-02-09,77
2020-02-16,58
2020-02-23,53
2020-03-01,57
2020-03-08,49
2020-03-15,54
2020-03-22,53
2020-03-29,46
2020-04-05,67
2020-04-12,58
2020-04-19,53
2020-04-26,67
2020-05-03,72
2020-05-10,59
2020-05-17,50
2020-05-24,51
2020-05-31,58
2020-06-07,45
2020-06-14,78
2020-06-21,54
2020-06-28,58
2020-07-05,53
2020-07-12,45
2020-07-19,60
2020-07-26,51
2020-08-02,64
2020-08-09,42
2020-08-16,49
2020-08-23,62
2020-08-30,63
2020-09-06,100
2020-09-13,37
2020-09-20,61
2020-09-27,46
2020-10-04,61
2020-10-11,70
2020-10-18,33
2020-10-25,49
2020-11-01,44
2020-11-08,56
2020-11-15,58
2020-11-22,48
2020-11-29,60
2020-12-06,49
2020-12-13,47
2020-12-20,67
2020-12-27,39
