Kategorie: Alle Kategorien

Woche,suicide: (West Virginia)
2020-01-05,36
2020-01-12,62
2020-01-19,55
2020-01-26,39
2020-02-02,29
2020-02-09,39
2020-02-16,39
2020-02-23,38
2020-03-01,100
2020-03-08,44
2020-03-15,18
2020-03-22,40
2020-03-29,39
2020-04-05,36
2020-04-12,29
2020-04-19,26
2020-04-26,30
2020-05-03,48
2020-05-10,37
2020-05-17,36
2020-05-24,14
2020-05-31,28
2020-06-07,33
2020-06-14,53
2020-06-21,40
2020-06-28,31
2020-07-05,62
2020-07-12,41
2020-07-19,26
2020-07-26,26
2020-08-02,51
2020-08-09,51
2020-08-16,67
2020-08-23,49
2020-08-30,50
2020-09-06,100
2020-09-13,57
2020-09-20,44
2020-09-27,39
2020-10-04,60
2020-10-11,21
2020-10-18,48
2020-10-25,36
2020-11-01,43
2020-11-08,30
2020-11-15,30
2020-11-22,26
2020-11-29,39
2020-12-06,39
2020-12-13,20
2020-12-20,60
2020-12-27,65
