Kategorie: Alle Kategorien

Woche,suicide: (New York)
2020-01-05,59
2020-01-12,58
2020-01-19,68
2020-01-26,75
2020-02-02,77
2020-02-09,69
2020-02-16,71
2020-02-23,72
2020-03-01,72
2020-03-08,63
2020-03-15,52
2020-03-22,62
2020-03-29,63
2020-04-05,63
2020-04-12,52
2020-04-19,66
2020-04-26,90
2020-05-03,59
2020-05-10,63
2020-05-17,58
2020-05-24,51
2020-05-31,62
2020-06-07,44
2020-06-14,73
2020-06-21,60
2020-06-28,61
2020-07-05,50
2020-07-12,59
2020-07-19,60
2020-07-26,59
2020-08-02,54
2020-08-09,44
2020-08-16,57
2020-08-23,79
2020-08-30,67
2020-09-06,100
2020-09-13,61
2020-09-20,60
2020-09-27,71
2020-10-04,56
2020-10-11,57
2020-10-18,61
2020-10-25,64
2020-11-01,39
2020-11-08,50
2020-11-15,64
2020-11-22,42
2020-11-29,71
2020-12-06,49
2020-12-13,44
2020-12-20,51
2020-12-27,63
