Kategorie: Alle Kategorien

Woche,suicide: (Maryland)
2020-01-05,50
2020-01-12,57
2020-01-19,47
2020-01-26,50
2020-02-02,57
2020-02-09,59
2020-02-16,61
2020-02-23,67
2020-03-01,66
2020-03-08,45
2020-03-15,33
2020-03-22,53
2020-03-29,60
2020-04-05,53
2020-04-12,49
2020-04-19,56
2020-04-26,64
2020-05-03,55
2020-05-10,38
2020-05-17,45
2020-05-24,41
2020-05-31,58
2020-06-07,56
2020-06-14,61
2020-06-21,51
2020-06-28,51
2020-07-05,53
2020-07-12,61
2020-07-19,63
2020-07-26,44
2020-08-02,43
2020-08-09,56
2020-08-16,52
2020-08-23,86
2020-08-30,75
2020-09-06,100
2020-09-13,52
2020-09-20,59
2020-09-27,50
2020-10-04,45
2020-10-11,67
2020-10-18,45
2020-10-25,38
2020-11-01,43
2020-11-08,45
2020-11-15,43
2020-11-22,52
2020-11-29,37
2020-12-06,40
2020-12-13,37
2020-12-20,42
2020-12-27,37
