Kategorie: Alle Kategorien

Woche,suicide: (Norddakota)
2020-01-05,55
2020-01-12,20
2020-01-19,86
2020-01-26,53
2020-02-02,53
2020-02-09,32
2020-02-16,21
2020-02-23,51
2020-03-01,41
2020-03-08,30
2020-03-15,51
2020-03-22,19
2020-03-29,98
2020-04-05,27
2020-04-12,26
2020-04-19,27
2020-04-26,75
2020-05-03,18
2020-05-10,29
2020-05-17,21
2020-05-24,11
2020-05-31,72
2020-06-07,0
2020-06-14,11
2020-06-21,22
2020-06-28,81
2020-07-05,11
2020-07-12,57
2020-07-19,46
2020-07-26,35
2020-08-02,35
2020-08-09,45
2020-08-16,78
2020-08-23,64
2020-08-30,52
2020-09-06,52
2020-09-13,20
2020-09-20,62
2020-09-27,63
2020-10-04,32
2020-10-11,45
2020-10-18,78
2020-10-25,100
2020-11-01,9
2020-11-08,77
2020-11-15,44
2020-11-22,34
2020-11-29,43
2020-12-06,43
2020-12-13,33
2020-12-20,64
2020-12-27,24
