Kategorie: Alle Kategorien

Woche,suicide: (Vermont)
2020-01-05,74
2020-01-12,69
2020-01-19,61
2020-01-26,40
2020-02-02,40
2020-02-09,100
2020-02-16,38
2020-02-23,81
2020-03-01,66
2020-03-08,58
2020-03-15,36
2020-03-22,43
2020-03-29,34
2020-04-05,67
2020-04-12,51
2020-04-19,26
2020-04-26,50
2020-05-03,50
2020-05-10,43
2020-05-17,65
2020-05-24,46
2020-05-31,17
2020-06-07,46
2020-06-14,29
2020-06-21,38
2020-06-28,19
2020-07-05,48
2020-07-12,29
2020-07-19,0
2020-07-26,39
2020-08-02,0
2020-08-09,29
2020-08-16,48
2020-08-23,65
2020-08-30,47
2020-09-06,56
2020-09-13,18
2020-09-20,85
2020-09-27,19
2020-10-04,50
2020-10-11,66
2020-10-18,57
2020-10-25,45
2020-11-01,28
2020-11-08,54
2020-11-15,33
2020-11-22,55
2020-11-29,33
2020-12-06,22
2020-12-13,69
2020-12-20,46
2020-12-27,92
